Wall time,Step,Value
1648912156.538656,0,48581.0
1648912157.02396,1,26247.15625
1648912159.448216,2,28339.6171875
1648912165.736438,3,33583.4453125
1648912172.0449438,4,33277.234375
1648912178.393101,5,25186.4765625
1648912184.745759,6,26630.46875
1648912191.310718,7,28686.478515625
1648912197.9681652,8,26939.677734375
1648912204.654743,9,28130.48046875
1648912211.371549,10,31918.0390625
1648912218.09813,11,33797.90625
1648912225.281248,12,28139.869140625
1648912232.223396,13,25086.5625
1648912239.165714,14,27720.966796875
1648912246.300381,15,30868.515625
1648912253.235492,16,22642.8046875
1648912260.16674,17,15648.5859375
1648912267.135245,18,11812.80078125
1648912274.077253,19,15414.595703125
1648912281.0291631,20,17487.767578125
1648912287.984021,21,15424.70703125
1648912294.86288,22,32369.533203125
1648912301.756901,23,30340.39453125
1648912308.631038,24,19870.380859375
1648912315.54339,25,10592.94140625
1648912322.3921459,26,12917.3017578125
1648912329.3045251,27,13912.744140625
1648912336.260942,28,6204.53857421875
1648912343.257133,29,11246.20703125
1648912350.248309,30,9371.259765625
1648912357.2465138,31,9605.859375
1648912364.267204,32,14174.6220703125
1648912371.2563221,33,18570.5078125
1648912378.503684,34,16033.96875
1648912385.7499342,35,13928.056640625
1648912392.74886,36,22415.099609375
1648912399.824534,37,20327.828125
1648912406.953174,38,31588.19921875
1648912413.998157,39,17246.91796875
1648912421.095541,40,18018.671875
1648912428.195724,41,16734.787109375
1648912435.272813,42,7250.71923828125
1648912442.4108832,43,11122.640625
1648912449.511109,44,8255.662109375
1648912456.645354,45,12893.3779296875
1648912463.837554,46,8620.296875
1648912470.93697,47,8451.4248046875
1648912478.071615,48,12308.4365234375
1648912485.192677,49,9898.98046875
1648912492.3957171,50,12264.275390625
1648912499.5818062,51,7527.45849609375
1648912507.1135108,52,10400.7177734375
1648912514.598263,53,26816.513671875
1648912521.9749389,54,10717.5361328125
1648912529.4407098,55,9574.296875
1648912537.122706,56,17522.41015625
1648912544.6174002,57,8960.3876953125
1648912551.934626,58,11565.2294921875
1648912559.369538,59,8255.83203125
1648912566.723454,60,9246.2431640625
1648912574.387398,61,13819.5576171875
1648912582.1636622,62,13990.44921875
1648912589.8943622,63,7842.52783203125
1648912597.277243,64,12530.0478515625
1648912604.8089359,65,12626.08203125
1648912612.5874188,66,10276.79296875
1648912620.451499,67,7414.98095703125
1648912628.2433028,68,13602.943359375
1648912635.890522,69,11157.0380859375
1648912643.633458,70,13543.4091796875
1648912651.2879128,71,14170.4619140625
1648912658.747634,72,12286.6611328125
1648912666.33602,73,10185.9814453125
1648912673.8493812,74,9412.37109375
1648912681.705504,75,10016.2578125
1648912689.526748,76,6578.42529296875
1648912697.4200928,77,14181.0361328125
1648912705.4346712,78,10149.1650390625
1648912713.40379,79,11191.7548828125
1648912721.01982,80,11868.0859375
1648912728.9671428,81,10885.27734375
1648912736.6988952,82,14254.3271484375
1648912744.39211,83,15803.0947265625
1648912752.212905,84,14141.033203125
1648912759.938188,85,11230.1328125
1648912767.7477078,86,8546.1298828125
1648912775.762822,87,13977.1005859375
1648912783.917444,88,10931.435546875
1648912792.759697,89,7277.2080078125
1648912800.642684,90,8510.7158203125
1648912808.686688,91,8004.7275390625
1648912816.6884649,92,11832.2529296875
1648912824.744739,93,10665.3212890625
1648912832.659431,94,15833.138671875
1648912840.766885,95,9485.5673828125
1648912848.736834,96,9011.6689453125
1648912856.681322,97,6865.6044921875
1648912864.6712132,98,9010.7421875
1648912872.8007722,99,6392.98388671875
1648912881.2552938,100,18597.626953125
1648912889.110804,101,11255.572265625
1648912896.91242,102,7320.80322265625
1648912905.112544,103,11069.86328125
1648912913.2945652,104,22624.212890625
1648912921.3460732,105,6762.30810546875
1648912929.4413571,106,8292.3271484375
1648912937.372036,107,7172.982421875
1648912945.603848,108,15050.9375
1648912953.975614,109,11070.0322265625
1648912962.292952,110,8354.9091796875
1648912970.693519,111,9072.2021484375
1648912978.7028081,112,6993.5634765625
1648912986.790525,113,8924.3076171875
1648912995.737786,114,7279.96435546875
1648913004.2273111,115,10088.677734375
1648913012.613424,116,14667.90625
1648913020.786495,117,10835.3486328125
1648913028.986172,118,7763.4091796875
1648913037.3550851,119,11588.6748046875
1648913045.6989949,120,7590.2431640625
1648913054.222246,121,11225.375
1648913062.901346,122,7987.921875
1648913071.0716002,123,10657.8388671875
1648913079.770764,124,7824.31201171875
1648913088.394403,125,10185.3642578125
1648913096.860062,126,10572.865234375
1648913105.3146691,127,9810.068359375
1648913113.684663,128,6826.2041015625
1648913121.944874,129,9095.63671875
1648913130.2454422,130,11035.046875
1648913138.606015,131,12123.609375
1648913146.8798342,132,9458.791015625
1648913155.169992,133,9034.3349609375
1648913163.693702,134,7940.58740234375
1648913172.523981,135,9686.8623046875
1648913181.1539168,136,11099.22265625
1648913190.115948,137,10468.40625
1648913198.7700639,138,12122.5634765625
1648913207.372153,139,14027.107421875
1648913216.58059,140,10477.9306640625
1648913225.7777889,141,8263.2373046875
1648913234.676903,142,10753.5029296875
1648913243.779263,143,10317.650390625
1648913252.6808162,144,13015.2294921875
1648913261.251095,145,12507.1513671875
1648913269.785389,146,11792.5107421875
1648913278.5415502,147,10838.2880859375
1648913287.122441,148,12505.2451171875
1648913295.901463,149,10404.525390625
1648913304.991895,150,12497.3798828125
1648913313.581552,151,9469.2099609375
1648913322.1796732,152,11787.6923828125
1648913330.971596,153,11866.986328125
1648913339.599991,154,13247.3583984375
1648913348.2302349,155,10419.322265625
1648913356.859205,156,9086.697265625
1648913365.642994,157,16575.267578125
1648913374.65457,158,7277.1240234375
1648913383.3329222,159,8833.08984375
1648913392.2463958,160,10220.578125
