Wall time,Step,Value
1648903077.592958,0,50.400001525878906
1648903078.496608,1,38.30400848388672
1648903089.4230652,2,32.76001739501953
1648903101.184979,3,36.0000114440918
1648903112.555985,4,24.473670959472656
1648903124.475245,5,35.78401565551758
1648903136.27307,6,39.00000762939453
1648903148.345665,7,36.5000114440918
1648903160.42032,8,30.7440185546875
1648903172.666413,9,20.49832534790039
1648903184.88342,10,38.382328033447266
1648903197.2616801,11,30.239980697631836
1648903209.403711,12,32.12801742553711
1648903221.606139,13,21.084026336669922
1648903233.861919,14,23.092025756835938
1648903246.0300212,15,16.56603240966797
1648903258.486578,16,35.52629470825195
1648903270.9166222,17,29.60524559020996
1648903283.4728231,18,27.108022689819336
1648903295.906879,19,19.643468856811523
1648903308.5791879,20,26.7733211517334
1648903321.301206,21,28.6140193939209
1648903334.042739,22,23.71089744567871
1648903347.019907,23,18.970582962036133
1648903359.766565,24,37.148014068603516
1648903372.643521,25,20.526308059692383
1648903385.389399,26,33.264015197753906
1648903398.351037,27,23.184024810791016
1648903411.432071,28,20.582027435302734
1648903424.396971,29,32.229454040527344
1648903437.6694431,30,20.66402816772461
1648903450.784328,31,25.209117889404297
1648903463.815928,32,23.475873947143555
1648903476.833981,33,23.959077835083008
1648903489.8729658,34,28.925199508666992
1648903503.14144,35,29.842086791992188
1648903516.609057,36,23.244770050048828
1648903529.8297431,37,25.792932510375977
1648903543.028065,38,26.846073150634766
1648903556.2780979,39,22.50002670288086
1648903569.707307,40,32.77762985229492
1648903583.654609,41,26.59089469909668
1648903597.260115,42,27.860984802246094
1648903610.904588,43,27.6099853515625
1648903624.606584,44,20.011756896972656
1648903638.195839,45,23.399988174438477
1648903651.982434,46,36.28797912597656
1648903665.8410602,47,25.099987030029297
1648903679.5048032,48,44.294090270996094
1648903695.085505,49,30.83712387084961
1648903709.251243,50,36.06471252441406
1648903723.187962,51,37.273475646972656
1648903737.3131552,52,41.32801055908203
1648903751.4490628,53,34.083133697509766
1648903765.4730802,54,37.23164367675781
1648903779.647827,55,22.589984893798828
1648903793.687567,56,23.93998908996582
1648903807.956853,57,30.11998176574707
1648903822.2664928,58,20.961807250976562
1648903836.32182,59,28.155635833740234
1648903850.5881631,60,38.90497589111328
1648903864.913205,61,25.309551239013672
1648903879.3217542,62,28.685697555541992
1648903893.720054,63,32.629981994628906
1648903908.285347,64,19.023147583007812
1648903922.907167,65,27.019399642944336
1648903937.531293,66,16.97683334350586
1648903952.518649,67,20.99999237060547
1648903967.503297,68,22.91737937927246
1648903982.384005,69,16.763473510742188
1648903997.481449,70,16.711572647094727
1648904012.509506,71,28.499984741210938
1648904027.4215062,72,26.13351821899414
1648904042.212919,73,30.872983932495117
1648904056.7731981,74,23.665699005126953
1648904071.835596,75,41.83330535888672
1648904086.841561,76,28.53472137451172
1648904102.204289,77,31.308929443359375
1648904117.2991638,78,32.37897872924805
1648904132.4563992,79,23.478248596191406
1648904147.807612,80,34.87576675415039
1648904163.545244,81,21.585987091064453
1648904179.5478668,82,15.562032699584961
1648904195.1369169,83,20.916654586791992
1648904210.802201,84,28.8649845123291
1648904226.103272,85,22.499990463256836
1648904241.722016,86,19.201492309570312
1648904257.378203,87,28.32712745666504
1648904273.184098,88,27.345775604248047
1648904288.6202219,89,16.8749942779541
1648904304.189429,90,28.791162490844727
1648904319.8969011,91,17.77262306213379
1648904336.585367,92,14.089086532592773
1648904352.662574,93,28.791162490844727
1648904368.561546,94,21.79058074951172
1648904384.581881,95,15.624032974243164
1648904401.037547,96,23.382619857788086
1648904417.527222,97,17.56999397277832
1648904433.629388,98,27.03952980041504
1648904449.9581718,99,19.123798370361328
1648904466.3879502,100,24.848987579345703
