Wall time,Step,Value
1648906074.900347,0,-0.10000000149011612
1648906075.356274,1,88.5999984741211
1648906077.873657,2,108.19999694824219
1648906084.367244,3,117.19999694824219
1648906090.8203142,4,76.4000015258789
1648906097.291695,5,127.30000305175781
1648906103.784127,6,101.5999984741211
1648906110.450638,7,126.80000305175781
1648906117.190418,8,142.8000030517578
1648906124.074166,9,110.80000305175781
1648906131.1112719,10,61.5
1648906138.2522502,11,119.0
1648906145.49282,12,119.0999984741211
1648906152.624637,13,140.89999389648438
1648906159.4861,14,147.60000610351562
1648906166.395593,15,140.5
1648906173.341291,16,174.39999389648438
1648906180.425122,17,141.3000030517578
1648906187.378172,18,129.89999389648438
1648906194.195267,19,101.30000305175781
1648906201.061367,20,113.5
1648906208.1342442,21,99.4000015258789
1648906214.943382,22,162.3000030517578
1648906221.780859,23,187.5
1648906228.6306539,24,156.0
1648906235.480195,25,167.8000030517578
1648906242.2894201,26,177.10000610351562
1648906249.306026,27,145.6999969482422
1648906256.2302022,28,168.0
1648906263.208508,29,155.6999969482422
1648906270.194228,30,165.39999389648438
1648906277.224925,31,160.8000030517578
1648906284.715304,32,168.89999389648438
1648906291.8438668,33,108.69999694824219
1648906299.052342,34,153.60000610351562
1648906306.284299,35,152.8000030517578
1648906313.347389,36,139.39999389648438
1648906320.331282,37,144.1999969482422
1648906327.395267,38,142.39999389648438
1648906334.3719769,39,184.60000610351562
1648906341.461034,40,135.39999389648438
1648906348.598121,41,156.8000030517578
1648906355.53853,42,131.6999969482422
1648906362.5643651,43,131.3000030517578
1648906369.63801,44,116.5
1648906376.7758899,45,142.89999389648438
1648906383.875116,46,173.0
1648906391.026817,47,191.8000030517578
1648906398.363372,48,138.3000030517578
1648906405.8948128,49,144.3000030517578
1648906413.695657,50,164.3000030517578
1648906421.1739268,51,154.39999389648438
1648906428.6258008,52,175.6999969482422
1648906436.0235038,53,154.39999389648438
1648906443.195103,54,139.60000610351562
1648906450.5213828,55,126.19999694824219
1648906458.034139,56,176.5
1648906465.4509912,57,124.69999694824219
1648906472.935509,58,163.89999389648438
1648906480.364531,59,126.9000015258789
1648906487.6722271,60,166.1999969482422
1648906495.216564,61,158.60000610351562
1648906502.76605,62,166.5
1648906510.3582132,63,173.1999969482422
1648906518.023809,64,136.8000030517578
1648906525.607556,65,116.80000305175781
1648906533.0264,66,166.1999969482422
1648906540.512021,67,175.1999969482422
1648906547.993419,68,168.1999969482422
1648906555.595788,69,121.0
1648906563.027637,70,121.0999984741211
1648906570.5455492,71,168.8000030517578
1648906578.014827,72,171.5
1648906585.5718908,73,157.8000030517578
1648906593.095863,74,159.89999389648438
1648906600.677417,75,174.0
1648906608.536761,76,147.60000610351562
1648906616.240521,77,155.8000030517578
1648906624.1896372,78,150.1999969482422
1648906632.028876,79,165.5
1648906639.700514,80,158.6999969482422
1648906647.35309,81,152.39999389648438
1648906654.960686,82,159.0
1648906662.586698,83,169.6999969482422
1648906670.2769868,84,173.5
1648906678.0856671,85,186.1999969482422
1648906685.8526368,86,136.10000610351562
1648906693.630665,87,150.60000610351562
1648906701.439559,88,167.0
1648906709.1533859,89,192.10000610351562
1648906716.898292,90,142.0
1648906724.687714,91,109.5999984741211
1648906732.3870249,92,123.5
1648906740.194824,93,151.6999969482422
1648906747.9117398,94,140.10000610351562
1648906755.756257,95,150.5
1648906763.510328,96,140.5
1648906771.2559428,97,158.0
1648906779.109899,98,124.19999694824219
1648906786.875465,99,153.0
1648906794.785311,100,148.10000610351562
1648906802.582073,101,173.39999389648438
1648906810.3942752,102,142.89999389648438
1648906818.308545,103,165.0
1648906826.152402,104,109.30000305175781
1648906834.040025,105,136.10000610351562
1648906842.015775,106,157.3000030517578
1648906849.9104488,107,163.0
1648906857.907861,108,157.6999969482422
1648906865.850207,109,162.1999969482422
1648906874.0920188,110,139.10000610351562
1648906882.2689762,111,141.60000610351562
1648906890.3289442,112,179.60000610351562
1648906898.433173,113,145.3000030517578
1648906906.605587,114,153.10000610351562
1648906914.6833751,115,124.19999694824219
1648906923.089121,116,162.60000610351562
1648906931.5408158,117,159.5
1648906940.220107,118,152.39999389648438
1648906948.7376928,119,205.39999389648438
1648906957.163578,120,153.8000030517578
1648906965.680324,121,145.10000610351562
1648906974.073107,122,158.0
1648906982.332402,123,164.89999389648438
1648906990.6628401,124,151.5
1648906999.024278,125,155.60000610351562
1648907007.303232,126,151.89999389648438
1648907015.5263932,127,153.8000030517578
1648907023.883488,128,138.8000030517578
1648907032.1048589,129,170.10000610351562
1648907040.336131,130,131.8000030517578
1648907048.709574,131,168.10000610351562
1648907057.005686,132,148.8000030517578
1648907065.273417,133,148.5
1648907073.695951,134,163.60000610351562
1648907082.030231,135,117.69999694824219
1648907090.355679,136,144.8000030517578
1648907098.866289,137,148.10000610351562
1648907107.227776,138,148.0
1648907115.755414,139,156.5
1648907125.108424,140,95.9000015258789
1648907133.799871,141,133.3000030517578
1648907142.3307,142,164.60000610351562
1648907151.0558112,143,170.1999969482422
1648907159.6166122,144,159.0
1648907168.0829282,145,154.5
1648907176.5787342,146,155.39999389648438
1648907185.186545,147,171.10000610351562
1648907193.6898282,148,167.0
1648907202.227585,149,136.5
1648907211.013435,150,191.8000030517578
1648907219.53736,151,132.1999969482422
1648907228.071452,152,141.3000030517578
1648907236.804805,153,163.0
1648907245.368715,154,164.60000610351562
1648907253.9467468,155,159.1999969482422
1648907262.542739,156,160.0
1648907271.350421,157,175.6999969482422
1648907280.015337,158,135.89999389648438
1648907288.681607,159,165.89999389648438
1648907297.58481,160,157.1999969482422
1648907306.316836,161,170.60000610351562
1648907315.022306,162,155.39999389648438
1648907323.740201,163,155.39999389648438
1648907332.6397572,164,175.60000610351562
1648907341.395088,165,140.1999969482422
1648907350.174091,166,167.0
1648907359.144908,167,180.1999969482422
1648907367.963052,168,118.80000305175781
1648907376.8018508,169,137.10000610351562
1648907385.6594071,170,143.60000610351562
1648907394.7009192,171,151.39999389648438
1648907403.5696461,172,110.5999984741211
1648907412.481007,173,168.60000610351562
1648907421.4166021,174,178.5
1648907430.640304,175,162.60000610351562
1648907439.639806,176,174.10000610351562
1648907448.68588,177,141.5
1648907457.905899,178,164.0
1648907466.917425,179,165.0
1648907475.987544,180,166.60000610351562
1648907485.1430311,181,127.80000305175781
1648907494.739348,182,170.8000030517578
1648907504.090636,183,91.5999984741211
1648907513.255418,184,134.39999389648438
1648907522.6501849,185,170.0
1648907532.224916,186,119.19999694824219
1648907541.6339269,187,168.39999389648438
1648907550.869798,188,156.6999969482422
1648907560.19053,189,172.0
1648907569.662773,190,172.6999969482422
1648907578.941421,191,165.5
1648907588.236084,192,166.1999969482422
1648907597.608507,193,159.1999969482422
1648907607.517165,194,119.0
1648907617.191042,195,165.60000610351562
1648907626.971516,196,166.8000030517578
1648907636.414062,197,209.10000610351562
1648907646.0649521,198,164.60000610351562
1648907655.6058218,199,158.1999969482422
1648907665.100162,200,189.8000030517578
